Dp,dN/dlogDp,dN
14.1,31933.457,498.9602656
14.6,18485.5775,288.8371484
15.1,10960.85,171.2632813
15.7,5485.579,85.71217188
16.3,3139.1295,49.04889844
16.8,1759.816,27.497125
17.5,1101.1515,17.20549219
18.1,791.6365,12.36932031
18.8,561.217,8.769015625
19.5,499.758,7.80871875
20.2,574.764,8.9806875
20.9,401.352,6.271125
21.7,484.9525,7.577382813
22.5,646.318,10.09871875
23.3,766.2005,11.97188281
24.1,1032.9095,16.13921094
25,1340.6455,20.94758594
25.9,1731.4975,27.05464844
26.9,2723.85,42.56015625
27.9,3656.22,57.1284375
28.9,5217.7725,81.52769531
30,7225.9345,112.9052266
31.1,9778.843,152.7944219
32.2,13406.725,209.4800781
33.4,17664.009,276.0001406
34.6,23232.7235,363.0113047
35.9,27938.1075,436.5329297
37.2,36120.9265,564.3894766
38.5,44400.9745,693.7652266
40,55503.744,867.246
41.4,65382.5485,1021.60232
42.9,80188.321,1252.942516
44.5,93991.7115,1468.620492
46.1,103770.2315,1621.409867
47.8,127313.2785,1989.269977
49.6,146520.9985,2289.390602
51.4,178146.3075,2783.536055
53.3,213794.8735,3340.544898
55.2,270523.576,4226.930875
57.3,341971.82,5343.309688
59.4,447785.3815,6996.646586
61.5,569479.3695,8898.115148
63.8,717790.1775,11215.47152
66.1,891860.7635,13935.32443
68.5,1103847.39,17247.61546
71,1281523.93,20023.81141
73.7,1504500.675,23507.82305
76.4,1752198.26,27378.0978
79.1,2020651.15,31572.67422
82,2213155.955,34580.56179
85.1,2389894.251,37342.09767
88.2,2501905.655,39092.27585
91.4,2526009.068,39468.89169
94.7,2517045.105,39328.82976
98.2,2527087.437,39485.7412
101.8,2571054.547,40172.7273
105.5,2622033.037,40969.2662
109.4,2708401.436,42318.77244
113.4,2801821.826,43778.46602
117.6,2845661.893,44463.46707
121.9,2865072.568,44766.75888
126.3,2832103.949,44251.6242
131,2744960.487,42890.00761
135.8,2627962.308,41061.91105
140.7,2455749.714,38371.08927
145.9,2295981.45,35874.71016
151.2,2107548.503,32930.44535
156.8,1992910.511,31139.22673
162.5,1936038.618,30250.6034
168.5,1886119.373,29470.6152
174.7,1854020.816,28969.07524
181.1,1892482.551,29570.03986
187.7,1886920.818,29483.13778
194.6,1852111.753,28939.24613
201.7,1857626.411,29025.41267
209.1,1907042.927,29797.54573
216.7,1964445.525,30694.46132
224.7,2044321.21,31942.51891
232.9,2109568.303,32962.00473
241.4,2172899.865,33951.56038
250.3,2176732.09,34011.4389
259.5,2173328.73,33958.26141
269,2178113.135,34033.01773
278.8,2172267.648,33941.682
289,2227675.971,34807.43705
299.6,2317996.918,36218.70184
310.6,2437265.505,38082.27352
322,2603364.776,40677.57463
333.8,2689310.912,42020.483
346,2698006.95,42156.35859
358.7,2658411.114,41537.67366
371.8,2582839.529,40356.86764
385.4,2467849.372,38560.14644
399.5,2315942.166,36186.59634
414.2,2147391.467,33552.99167
429.4,2072541.811,32383.4658
445.1,1898357.135,29661.83023
461.4,1711364.799,26740.07498
478.3,1536414.673,24006.47927
495.8,1357199.005,21206.23445
514,1198053.511,18719.58611
532.8,1041789.288,16277.95762
552.3,901809.335,14090.77086
572.5,784551.155,12258.6118
593.5,677599.8835,10587.49818
615.3,577254.1935,9019.596773
637.8,493965.517,7718.211203
661.2,413073.317,6454.270578
685.4,342062.6735,5344.729273
710.5,282785.5645,4418.524445
736.5,231843.8125,3622.55957
